symbol,size
ACC,400
ADANIENT,4000
ADANIPORTS,2500
ADANIPOWER,10000
AMARAJABAT,800
AMBUJACEM,2500
APOLLOHOSP,500
APOLLOTYRE,3000
ASHOKLEY,8000
ASIANPAINT,600
AUROPHARMA,1000
AXISBANK,1200
BAJAJ-AUTO,250
BAJAJFINSV,125
BAJFINANCE,250
BALKRISIND,800
BANKBARODA,5400
BATAINDIA,550
BEL,6000
BERGEPAINT,2200
BHARATFORG,1300
BHARTIARTL,1851
BHEL,10400
BIOCON,2300
BOSCHLTD,40
BPCL,1800
BRITANNIA,200
CADILAHC,2200
CANBK,2600
CENTURYTEX,600
CESC,800
CHOLAFIN,2500
CIPLA,1150
COALINDIA,2700
COLPAL,700
CONCOR,1563
CUMMINSIND,900
DABUR,1250
DIVISLAB,400
DLF,3300
DRREDDY,250
EICHERMOT,30
EQUITAS,4900
ESCORTS,1100
EXIDEIND,2900
FEDERALBNK,7000
GAIL,5334
GLENMARK,1400
GMRINFRA,45000
GODREJCP,800
GRASIM,750
HAVELLS,1000
HCLTECH,1400
HDFC,250
HDFCBANK,500
HEROMOTOCO,200
HINDALCO,3500
HINDPETRO,2100
HINDUNILVR,300
IBULHSGFIN,1200
ICICIBANK,1375
ICICIPRULI,1500
IDEA,98000
IDFCFIRSTB,12000
IGL,2750
INDIGO,300
INDUSINDBK,400
INFRATEL,2000
INFY,1200
IOC,4000
ITC,2400
JINDALSTEL,5000
JSWSTEEL,2300
JUBLFOOD,500
JUSTDIAL,1400
KOTAKBANK,400
L&TFH,5600
LICHSGFIN,1300
LT,375
LUPIN,700
M&M,1000
M&MFIN,1600
MANAPPURAM,6000
MARICO,1300
MARUTI,100
MCDOWELL-N,1250
MFSL,1300
MGL,600
MINDTREE,800
MOTHERSUMI,5000
MRF,10
MUTHOOTFIN,1500
NATIONALUM,11700
NCC,9000
NESTLEIND,50
NIITTECH,375
NMDC,6000
NTPC,4800
OIL,3399
ONGC,4100
PAGEIND,25
PEL,309
PETRONET,3000
PFC,6200
PIDILITIND,500
PNB,8300
POWERGRID,4000
PVR,400
RAMCOCEM,800
RBLBANK,1500
RECLTD,6000
RELIANCE,500
SAIL,15700
SBIN,3000
SHREECEM,50
SIEMENS,550
SRF,250
SRTRANSFIN,600
SUNPHARMA,1250
SUNTV,1200
TATACHEM,900
TATAGLOBAL,2700
TATAMOTORS,4300
TATAPOWER,9000
TATASTEEL,1500
TCS,250
TECHM,1200
TITAN,750
TORNTPHARM,500
TORNTPOWER,3000
TVSMOTOR,1350
UBL,700
UJJIVAN,1700
ULTRACEMCO,200
UPL,900
VEDL,3500
VOLTAS,1000
WIPRO,3200
YESBANK,8800
ZEEL,1700
AARTIIND,425
BANDHANBNK,1800
COFORGE,375
GODREJPROP,650
HDFCAMC,200
HDFCLIFE,1100
ICICIGI,425
INDUSTOWER,2800
LALPATHLAB,250
NAUKRI,250
SBILIFE,750
TATACONSUM,1350
