Company,Industry,Symbol,Series
3M India Ltd.,CONSUMER GOODS,3MINDIA,EQ
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ
ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,EQ
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ
Adani Enterprises Ltd.,METALS,ADANIENT,EQ
Adani Green Energy Ltd.,POWER,ADANIGREEN,BE
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE
Adani Transmission Ltd.,POWER,ADANITRANS,BE
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,EQ
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,EQ
Affle (India) Ltd.,IT,AFFLE,BE
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ
Alembic Ltd.,PHARMA,ALEMBICLTD,EQ
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ
Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG,EQ
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ
