symbol,size
AARTIIND,850
ABFRL,2600
ACC,500
ASIANPAINT,300
AXISBANK,1200
BAJAJ-AUTO,250
BAJFINANCE,125
BALKRISIND,400
BANDHANBNK,1800
BATAINDIA,550
BERGEPAINT,1100
BRITANNIA,200
CHOLAFIN,1250
COLPAL,350
COROMANDEL,625
DABUR,1250
DEEPAKNTR,500
DLF,3300
ESCORTS,550
GODREJCP,1000
GODREJPROP,650
GRANULES,1550
GRASIM,475
HAVELLS,500
HCLTECH,700
HDFC,300
HDFCBANK,550
HDFCLIFE,1100
HEROMOTOCO,300
HINDUNILVR,300
ICICIBANK,1375
ICICIGI,425
ICICIPRULI,1500
INDHOTEL,3900
INFY,600
JINDALSTEL,2500
JUBLFOOD,250
KOTAKBANK,400
LICHSGFIN,2000
LT,575
LTI,150
MARICO,2000
MINDTREE,400
MPHASIS,325
NAUKRI,125
NAVINFLUOR,225
NESTLEIND,50
NTPC,5700
PAGEIND,30
PIDILITIND,500
PIIND,250
POWERGRID,4000
PVR,407
RAMCOCEM,850
RELIANCE,250
SBILIFE,750
SBIN,1500
SIEMENS,275
SUNPHARMA,1400
TATACHEM,1000
TATACONSUM,1350
TATAMOTORS,2850
TATASTEEL,850
TCS,300
TITAN,375
TRENT,725
UBL,700
ULTRACEMCO,100
UPL,1300
VOLTAS,500
WIPRO,1600
BANKNIFTY,25
NIFTY,50
FINNIFTY,40
